Order Date,Book Title,ISBN,Quantity,Cost Price (NPR),Supplier
2023-09-23,Graphic Design Principles,978-9937-917-64-0,90,1034.93,Sajha Yatayat
2019-10-05,Nepali Udyog Ko Itihas Ra Katha,978-9937-684-65-4,94,1092.99,Avinash Prakashan
2022-02-04,Nepali Samaj Ra Vikas,978-9937-373-82-6,42,1256.26,Sajha Prakashan
2021-07-12,Katha Haru Ko Khushi,978-9937-795-36-9,65,325.59,Mitra and Brothers
2021-04-17,Nepal Yatra,978-9937-112-78-2,61,923.43,Avinash Prakashan
2020-08-27,Kahani Ko Ramailo,978-9937-170-47-4,71,763.37,Gyan Books
2023-07-28,Aashako Manchhe,978-9937-970-99-1,96,780.79,Himalayan Book Centre
2021-04-24,Yatra Ra Katha,978-9937-369-34-2,16,574.19,Avinash Prakashan
2024-08-21,Panchhi,978-9937-782-94-8,54,1445.93,Bookhill
2021-07-22,Sukh Ko Sathi,978-9937-461-18-3,78,1185.67,Siddhartha Books
2020-10-19,Ecology: Principles and Applications,978-9937-247-12-2,74,1116.85,Shrestha Books
2022-10-21,Manasvi,978-9937-574-25-2,81,1353.98,Mahatma Publication
2019-11-25,Ghar Ko Bato,978-9937-229-58-6,68,753.03,Katha Ghar
2022-07-28,Chhito Ghar,978-9937-683-81-7,74,581.89,Siddhartha Books
2024-08-16,Bal Katha,978-9937-128-82-5,47,1180.44,Srijana Prakashan
2024-10-18,Jatra Ko Khusi Yatra,978-9937-349-69-4,69,1469.93,Sajjan Publications
2022-04-21,Chhalphal Ghar Ko Ramailo,978-9937-665-67-2,86,554.87,Sajha Yatayat
2023-01-25,Sangharsha Ko Yatra,978-9937-648-74-0,26,822.35,Educational Publishing House
2020-05-31,Recreational Therapy,978-9937-937-67-2,50,1409.76,Nepalaya
2024-07-10,Principles of Management,978-9937-470-12-8,85,248.44,Jagadamba Press
2019-05-23,Introduction to Business Intelligence,978-9937-352-25-2,21,945.97,Om Publications
2019-03-05,Chandra Kanta,978-9937-360-66-2,12,241.89,Fine Print
2021-01-06,Aasha Ko Maya,978-9937-441-72-8,52,1392.88,Pragya Publications
2020-06-19,Physics - Kramik Pathakram,978-9937-626-91-3,82,891.0,Srijana Prakashan
2021-07-25,Ekta Ko Katha,978-9937-472-24-0,16,638.86,Katha Ghar
2024-04-29,Jatiya Sangharsha Ko Bato,978-9937-564-78-6,42,927.23,Himal Books
2022-09-07,Saraswati Prasad,978-9937-203-77-7,98,977.11,Siddhartha Books
2021-08-15,Bal Katha,978-9937-128-82-5,59,614.18,Adroit Publishers
2021-12-01,Nepali Samaj Ra Vikas,978-9937-373-82-6,82,893.27,Sita Ram Prakashan
2024-05-26,Maya Ko Katha,978-9937-761-49-7,30,777.39,Gyan Books
2021-11-18,Nepali Sahyatri,978-9937-867-83-3,55,371.71,Sajha Prakashan
2021-03-01,Bal Ramailo,978-9937-665-68-3,13,1205.23,Sajha Prakashan
2023-06-01,Katha Haru Ko Udaan,978-9937-108-38-3,26,919.24,Fine Print
2019-03-14,Bholi Ka Ghar,978-9937-724-73-6,51,386.58,Om Publications
2023-01-31,Ramailo Sundar Ghar,978-9937-132-10-8,68,456.79,Samyukta Prakashan
2022-03-29,Scrum and Lean Methodologies,978-9937-445-49-9,15,621.33,Shankar Books
2022-01-28,Arthik Adhikar Ra Bato,978-9937-550-56-0,40,1190.67,Sita Ram Prakashan
2022-01-10,Sathi,978-9937-174-82-2,74,942.24,Shrestha Books
2021-10-18,Medical Terminology,978-9937-254-81-6,51,647.36,Mitra and Brothers
2023-08-22,Muktak Ko Duniya,978-9937-899-94-7,50,1049.32,Bookhill
2020-02-07,Samaya Ma Ghar,978-9937-971-54-8,71,585.18,Adroit Publishers
2023-10-01,Yatra Ra Khushi,978-9937-758-84-6,68,768.78,Bookhill
2024-10-24,Sanskriti Ra Itihas,978-9937-881-60-0,52,736.33,Jagadamba Press
2019-07-06,Fundamentals of Logic,978-9937-397-76-5,65,803.66,Pragya Publications
2020-09-25,Ek Chhaina,978-9937-703-37-7,86,1297.43,Avinash Prakashan
2022-11-07,Kahani Ko Duniya,978-9937-558-79-2,39,1043.64,Educational Publishing House
2022-09-02,Ghar Ko Kahani,978-9937-363-83-2,97,1220.43,Bookhill
2023-11-20,Prashant,978-9937-712-13-3,58,1290.31,Shankar Books
2024-03-19,Pariwartan Ko Samaya,978-9937-278-79-7,87,462.05,Avinash Prakashan
2024-10-23,Maya Ra Maanav,978-9937-343-16-1,100,951.52,Om Publications
2023-09-10,Manohar,978-9937-678-59-2,73,552.1,Shrestha Books
2018-11-21,Khushi Ko Ghar,978-9937-947-31-8,59,1119.11,Shankar Books
2021-07-14,Mindfulness and Mental Health,978-9937-366-47-8,88,257.26,Gyan Books
2022-03-14,Maya,978-9937-864-36-2,14,380.41,Mahatma Publication
2022-09-20,Chhimeki Ko Bato,978-9937-126-88-2,38,1085.57,Himal Books
2023-07-27,Sustainable Development: Theory and Practice,978-9937-587-22-3,34,1255.39,Bookhill
2022-05-08,Chhito Sundar Pataka,978-9937-461-56-0,57,232.46,Educational Publishing House
2022-09-01,Chhalphal Ko Ramailo Kahani,978-9937-659-45-9,83,1332.26,Sita Ram Prakashan
2021-05-11,Yatra Ko Antim Katha,978-9937-513-68-7,69,674.63,Ekta Books
2020-03-28,Nepal Ko Yatra,978-9937-223-32-3,91,917.73,Sajha Yatayat
2022-05-09,Anand Ra Duniya,978-9937-940-19-5,67,225.96,Ekta Books
2019-06-09,Chhito Haru,978-9937-208-56-3,62,931.74,Mahatma Publication
2020-08-09,Marketing Research,978-9937-124-60-5,25,699.01,Sajha Yatayat
2021-03-19,Data Analytics: Basics and Applications,978-9937-100-57-7,53,375.18,Om Publications
2020-07-30,Yatra Ko Rukh,978-9937-222-92-7,73,1028.1,Om Publications
2022-09-30,Yugal Gurung,978-9937-979-11-1,60,1254.79,Srijana Prakashan
2020-11-18,Bholi Ka Ghar,978-9937-724-73-6,69,1292.03,Om Publications
2022-05-23,Engineering Mechanics: Basics and Applications,978-9937-412-12-0,76,865.57,Mandala Book Point
2023-01-30,Chhalphal Yatra Ramailo,978-9937-376-59-4,38,1096.63,Gyan Books
2019-04-20,Katha Pustak,978-9937-888-20-4,20,316.03,Nepalaya
2021-03-23,Marine Biology: Concepts and Applications,978-9937-939-66-6,40,178.64,Nirmal Publication
2019-08-27,Ramailo Ghar,978-9937-586-85-5,94,180.83,Sajha Yatayat
2021-03-18,Ghar Ko Yatra,978-9937-492-54-5,68,632.08,Mandala Book Point
2022-05-14,Sundar Yatra,978-9937-784-16-5,38,420.38,Birat Books
2022-07-29,Nutritional Science and Dietetics,978-9937-825-66-0,91,989.57,Shankar Books
2022-05-05,Bhul Ko Yatra,978-9937-601-52-2,39,541.68,Gyan Books
2023-12-19,Maya Ko Rukh,978-9937-680-54-8,64,467.53,Mahatma Publication
2019-10-13,Safar Ka Mantra,978-9937-422-26-1,87,856.77,Bookhill
2022-01-22,Thulo Pasa,978-9937-811-15-4,93,413.73,Katha Ghar
2021-04-29,Achieving Your Goals,978-9937-958-53-7,11,1363.64,Bhimsen Publications
2021-10-19,Communication Skills,978-9937-240-23-8,19,295.09,Samyukta Prakashan
2023-06-19,Maanav Ra Yatra,978-9937-390-90-8,22,1083.24,Nepalaya
2019-12-16,Yatra Ko Khushi,978-9937-383-99-2,33,1315.74,Jagadamba Press
2021-11-28,Introduction to Film Production,978-9937-497-66-4,56,1381.27,Siddhartha Books
2024-03-16,Rato Bangala,978-9937-956-35-3,67,480.47,Birat Books
2024-07-22,Indigenous Rights and Issues,978-9937-794-76-1,82,231.47,Ekta Books
2024-10-19,Man Ko Ramailo,978-9937-453-19-8,82,1269.33,Jagadamba Press
2020-08-19,Zindagi,978-9937-606-77-6,60,571.35,Shree Tara Books
2023-08-12,Psychology: An Introduction,978-9937-990-48-1,96,1238.72,Avinash Prakashan
2020-08-03,Arthik Vikas Ra Samaj,978-9937-675-33-7,96,398.22,Shrestha Books
2021-06-04,Taxation Principles and Practices,978-9937-729-64-3,87,1143.41,Himal Books
2022-06-08,Ramailo Jeevan,978-9937-284-33-8,73,1131.29,Mandala Book Point
2019-11-14,Chhito Khushi Pataka,978-9937-403-58-3,73,275.26,Samyukta Prakashan
2019-05-05,History of Nepali Literature,978-9937-855-33-1,25,993.54,Sajjan Publications
2022-04-06,Prakriti Ra Bikas,978-9937-632-35-2,37,598.93,Jagadamba Press
2019-03-15,Health Promotion and Disease Prevention,978-9937-698-26-3,93,1097.15,Mitra and Brothers
2023-07-03,Bal Manch Ramailo,978-9937-932-60-1,64,241.95,Siddhartha Books
2021-08-09,Digital Marketing Strategies,978-9937-461-58-1,91,1384.07,Sajjan Publications
2022-01-05,Chhalphal Ramailo Kahani,978-9937-384-44-2,70,194.36,Sita Ram Prakashan
2023-12-25,Manavadhikar Ra Nyaya,978-9937-334-28-0,69,1021.9,Nirmal Publication
2022-12-26,Shiksha Ko Mahatv,978-9937-213-87-2,79,534.27,Katha Ghar
2019-08-22,Introduction to Software Testing,978-9937-918-76-5,24,1314.12,Fine Print
2023-12-03,Introduction to Environmental Studies,978-9937-160-46-7,35,480.42,Himal Books
2023-08-31,Neural Networks and Deep Learning,978-9937-884-87-7,35,1328.08,Pragya Publications
2023-06-22,Mindfulness and Mental Health,978-9937-366-47-8,76,404.21,Sajha Prakashan
2020-11-09,Duniya Ko Sathi,978-9937-203-35-2,45,930.66,Himal Books
2022-02-20,Technology in Education,978-9937-952-26-9,39,287.77,Shrestha Books
2021-01-19,Rajesh,978-9937-582-14-1,23,811.37,Himalayan Book Centre
2024-04-09,Gorkha Jatra,978-9937-343-39-7,35,215.65,Om Publications
2020-12-24,Chhalphal Ghar,978-9937-484-32-5,33,599.28,Srijana Prakashan
2020-02-17,Satya Harishchandra,978-9937-544-26-9,53,1330.89,Sajjan Publications
2023-08-02,Manavadhikar Ra Samasya,978-9937-588-14-1,57,1222.69,Adroit Publishers
2021-11-24,Nepali Samasya Ko Itihas,978-9937-641-46-8,30,833.38,Himalayan Book Centre
2024-09-09,Chitwan Ka Katha,978-9937-408-38-7,85,215.14,Nirmal Publication
2019-05-21,Samudayik Itihas,978-9937-938-27-4,73,1377.95,Sajjan Publications
2023-02-06,Chandra Ko Katha,978-9937-284-35-5,96,651.15,Educational Publishing House
2020-07-17,Ethics in Education,978-9937-575-15-1,92,224.25,Adroit Publishers
2022-12-28,Cloud Computing Basics,978-9937-896-98-9,88,543.53,Nepalaya
2022-12-06,Chhalphal Yatra Ghar,978-9937-645-28-6,13,656.41,Shree Tara Books
2023-05-21,Ramailo Ghar Kahani,978-9937-109-36-1,84,624.68,Nirmal Publication
2019-12-11,Mantra Ko Katha,978-9937-784-75-7,40,1422.61,Educational Publishing House
2019-03-26,Introduction to Agriculture,978-9937-733-66-1,86,647.34,Pragya Publications
2024-05-30,Nirmal,978-9937-593-96-0,82,209.01,Mandala Book Point
2023-08-19,Ritu,978-9937-639-83-4,73,351.48,Nirmal Publication
2024-09-28,Bhai Ko Bhavishya,978-9937-716-44-8,44,182.62,Samyukta Prakashan
2019-11-01,Shrestha Manchhe,978-9937-817-62-6,55,871.22,Om Publications
2023-08-20,Nepal ko Khushi,978-9937-387-80-2,30,780.08,Srijana Prakashan
2019-06-16,Bhimsen Thapa,978-9937-563-26-0,39,559.97,Om Publications
2021-04-14,Ek Chhoto Yatra,978-9937-186-28-8,25,1323.05,Adroit Publishers
2024-04-17,Samaya Ma Ghar,978-9937-971-54-8,33,599.55,Birat Books
2021-08-08,Nepal Ko Adhikar Ra Bato,978-9937-700-97-8,34,967.52,Siddhartha Books
2020-03-19,Chhito Yatra,978-9937-834-39-8,34,395.12,Bhimsen Publications
2020-07-10,Technology in Education,978-9937-952-26-9,24,1210.5,Mandala Book Point
2022-06-19,Biology Workbook,978-9937-762-66-9,20,1045.08,Ekta Books
2022-04-01,Ankhako Pani,978-9937-657-70-5,98,991.83,Ratna Pustak Bhandar
2021-06-06,Project Management,978-9937-929-90-7,67,675.27,Mitra and Brothers
2022-03-08,Naulo Ghar,978-9937-394-45-8,87,639.47,Jagadamba Press
2019-12-22,Nepali Ghar,978-9937-751-49-2,86,1134.38,Mandala Book Point
2019-08-12,Philosophy of Art,978-9937-105-78-8,45,428.95,Fine Print
2022-10-13,Chemistry: Concepts and Applications,978-9937-766-83-6,86,1359.63,Nepalaya
2020-09-04,Baal Sundar Pustak,978-9937-275-51-8,93,855.41,Bhimsen Publications
2020-06-22,Globalization and Its Impact,978-9937-623-47-4,93,1276.78,Fine Print
2022-04-21,Samudayik Itihas,978-9937-938-27-4,33,229.78,Fine Print
2022-04-17,Abstract Algebra: Concepts and Applications,978-9937-770-96-1,48,676.89,Sajjan Publications
2022-09-15,Maya Ko Samaya,978-9937-610-66-4,11,674.8,Om Publications
2021-06-14,Musical Theory and Composition,978-9937-338-71-4,84,660.9,Ekta Books
2020-03-05,Aama Ko Parcha,978-9937-270-26-5,72,639.02,Nepalaya
2024-07-05,Social Work Principles and Practices,978-9937-312-71-5,42,975.55,Avinash Prakashan
2024-10-13,Bal Kahani Pustak,978-9937-968-81-5,12,1420.72,Ratna Pustak Bhandar
2021-10-27,Chhalphal Ko Yatra,978-9937-901-29-8,62,1184.91,Sajha Prakashan
2023-07-10,Chhito Manzil,978-9937-292-36-2,34,1198.69,Bookhill
2023-06-30,Bholi Ko Maya,978-9937-600-78-5,61,567.03,Ekta Books
2019-09-15,Samaya Ko Dhamaka,978-9937-700-37-0,90,529.16,Shrestha Books
2019-09-07,Nepal Ko Ramailo,978-9937-979-32-8,60,1253.12,Srijana Prakashan
2019-02-03,Development Economics,978-9937-460-61-5,69,168.34,Gyan Books
2024-09-02,Child Rights and Protection,978-9937-701-89-0,32,345.63,Sajha Yatayat
2020-04-26,Food Security and Nutrition,978-9937-638-72-4,72,1048.99,Adroit Publishers
2024-01-27,Sukanya,978-9937-858-10-9,47,821.38,Srijana Prakashan
2021-02-10,Ramailo Sundar Ghar Kahani,978-9937-851-85-6,91,864.24,Jagadamba Press
2021-10-28,Power Systems Engineering,978-9937-407-28-2,62,265.88,Himalayan Book Centre
2020-12-07,Yatra Ma Maya,978-9937-791-56-0,58,1233.77,Ratna Pustak Bhandar
2023-11-15,Baal Ghar Ko Chhito,978-9937-735-17-9,11,382.17,Mahatma Publication
2019-06-20,Nepal Ko Samaj,978-9937-328-72-1,56,803.96,Mahatma Publication
2022-07-04,Dharma Ko Yatra,978-9937-508-73-0,69,1308.1,Bhimsen Publications
2020-03-24,Cybersecurity Fundamentals,978-9937-143-51-2,25,219.02,Nepalaya
2020-03-07,Aama Ko Asamanta,978-9937-315-94-8,79,800.45,Srijana Prakashan
2022-01-21,Dev,978-9937-581-66-0,87,1146.15,Jagadamba Press
2021-09-05,Engineering Management: Theory and Practice,978-9937-495-22-0,42,814.1,Avinash Prakashan
2020-10-27,Ramailo Jeevan,978-9937-284-33-8,73,634.11,Ekta Books
2021-04-25,Bholi Ko Maya,978-9937-600-78-5,34,356.07,Educational Publishing House
2024-09-22,Introduction to Development Studies,978-9937-566-63-4,82,1329.94,Sajjan Publications
2019-10-08,Samajik Adhikar,978-9937-907-91-2,100,618.05,Bookhill
2023-07-07,Distance Education and E-Learning,978-9937-716-36-8,98,375.67,Om Publications
2024-02-03,Introduction to Film Production,978-9937-497-66-4,69,843.08,Samyukta Prakashan
2020-04-08,Jatra Ma Ramailo,978-9937-956-86-6,51,1364.37,Himalayan Book Centre
2019-12-10,Narendra Dai,978-9937-661-46-5,15,1277.29,Himalayan Book Centre
2023-01-19,Ma Timro Sangai,978-9937-394-47-5,17,976.61,Nepalaya
2018-11-23,Social Studies for Kids,978-9937-652-71-0,20,884.73,Om Publications
2022-01-23,Introduction to Human Rights,978-9937-904-76-0,21,458.4,Katha Ghar
2024-08-19,Curriculum Development and Design,978-9937-933-89-8,26,564.08,Jagadamba Press
2019-09-11,Fundamentals of Accounting,978-9937-298-27-7,84,1473.06,Samyukta Prakashan
2019-03-26,Bhul Ko Ramailo,978-9937-104-88-1,75,1482.78,Shankar Books
2020-08-03,Sanjhi,978-9937-953-44-7,26,353.62,Mitra and Brothers
2019-07-19,Maya Ra Ghar,978-9937-975-26-2,83,674.77,Pragya Publications
2019-04-14,Satya Harishchandra,978-9937-544-26-9,99,779.45,Shankar Books
2022-03-03,Nepali Udyog Ko Itihas,978-9937-222-15-9,49,703.48,Himal Books
2023-09-20,Marketing Management,978-9937-126-66-1,10,346.86,Birat Books
2019-07-02,Nepali Bhasha Ra Samaj,978-9937-466-69-2,47,1230.52,Srijana Prakashan
2021-04-12,Agroecology: Principles and Practices,978-9937-303-96-4,50,1202.88,Siddhartha Books
2023-07-16,Dharma Ko Kahani,978-9937-838-22-7,54,1154.81,Sajha Prakashan
2021-01-10,Maya Ra Sathi,978-9937-647-42-3,10,283.16,Educational Publishing House
2020-04-16,Katha Ra Samaya,978-9937-374-26-5,11,406.02,Gyan Books
2020-04-19,Yatra Ra Khushi,978-9937-758-84-6,46,483.3,Nepalaya
2023-06-23,Khushi Ko Ramailo Yatra,978-9937-453-89-4,85,387.54,Shree Tara Books
2024-09-23,Introduction to Civil Engineering,978-9937-294-47-0,22,594.32,Srijana Prakashan
2020-12-10,Electromagnetism: Principles and Applications,978-9937-363-31-4,79,1200.6,Bookhill
2021-04-17,Chhito Ramailo Kahani,978-9937-994-44-5,79,193.28,Samyukta Prakashan
2024-03-05,Aama Ko Parcha,978-9937-270-26-5,37,1493.68,Siddhartha Books
2019-09-15,Shiksha Ra Vikas,978-9937-230-15-0,56,704.58,Himalayan Book Centre
2024-10-27,Saroj,978-9937-931-24-5,82,896.34,Om Publications
2021-04-09,Pratikriya,978-9937-318-19-5,74,754.22,Shankar Books
2024-08-06,Teaching Methods and Strategies,978-9937-913-89-1,44,1269.06,Mandala Book Point
2021-05-31,Samaya Ko Dhamaka,978-9937-700-37-0,100,338.42,Samyukta Prakashan
2021-11-27,Nepal Ko Mitra,978-9937-540-97-6,61,1150.62,Avinash Prakashan
2022-02-11,Nepal Ko Itihas,978-9937-638-85-7,22,1188.29,Samyukta Prakashan
2022-12-29,Baal Yatra Ko Sundar,978-9937-118-48-5,47,1401.3,Educational Publishing House
2021-08-27,Ramailo Kahani,978-9937-102-66-3,76,286.53,Nirmal Publication
2019-10-16,Ek Bato,978-9937-497-90-7,27,220.05,Jagadamba Press
2024-08-21,Bal Ramailo Ghar Yatra,978-9937-831-62-3,82,456.32,Sita Ram Prakashan
2021-05-28,Management Information Systems,978-9937-428-92-0,87,1103.56,Jagadamba Press
2021-12-16,Organizational Behavior,978-9937-225-75-7,18,151.34,Siddhartha Books
2019-01-05,Samaya Ko Dhamaka,978-9937-700-37-0,79,1042.45,Sajha Prakashan
2022-10-22,Macroeconomics: Theory and Applications,978-9937-714-22-6,61,1371.15,Bhimsen Publications
2022-05-17,Shukrabar,978-9937-455-23-2,10,797.7,Fine Print
2023-08-11,Khushi Ko Duniya,978-9937-723-87-4,90,1404.43,Pragya Publications
2019-06-21,Ramchandra,978-9937-931-84-9,67,194.19,Sajha Yatayat
2019-03-28,Exercise Physiology,978-9937-232-63-2,67,723.09,Nepalaya
2021-05-29,Dhaak Ko Duniya,978-9937-375-37-1,74,547.0,Shankar Books
2023-08-24,Jatra,978-9937-719-16-9,77,621.1,Educational Publishing House
2019-01-24,Sukanya,978-9937-858-10-9,24,974.32,Sajha Prakashan
2023-06-30,Electromagnetism: Principles and Applications,978-9937-363-31-4,16,877.87,Mandala Book Point
2020-10-12,Kina,978-9937-230-80-2,33,344.0,Shankar Books
2021-06-05,History of Nepali Literature,978-9937-855-33-1,88,1170.79,Gyan Books
2019-10-01,Veterinary Science: Principles and Applications,978-9937-226-42-3,16,154.36,Sita Ram Prakashan
2021-03-09,Mangal Singh,978-9937-366-78-3,24,433.58,Nepalaya
2018-12-05,Modern Physics: Concepts and Applications,978-9937-171-55-2,73,1487.99,Himalayan Book Centre
2019-12-03,Ek Chhito Sapana,978-9937-342-89-4,73,1168.17,Pragya Publications
2023-05-19,Arthik Itihas Ko Samaya,978-9937-915-59-3,66,689.19,Ekta Books
2024-09-24,Rajesh Hamal Ko Ghar,978-9937-271-87-6,24,255.67,Bookhill
2022-04-27,Bal Kahani Ramailo,978-9937-838-46-3,44,802.73,Om Publications
2022-12-23,Nepal Ko Chitwan,978-9937-503-65-4,66,1318.19,Shree Tara Books
2022-02-16,Sukh Ko Samaya,978-9937-598-15-9,90,990.59,Birat Books
2019-04-19,Pratikriya,978-9937-318-19-5,75,272.29,Mahatma Publication
2020-07-12,Bhul Ko Ramailo,978-9937-104-88-1,81,1150.55,Himalayan Book Centre
2023-12-15,Makhamali,978-9937-636-51-6,55,1000.0,Katha Ghar
2021-05-26,Nirmal,978-9937-593-96-0,57,534.44,Pragya Publications
2023-11-29,Maya Ko Ghar,978-9937-952-78-7,34,448.28,Siddhartha Books
2024-07-11,Naya Saathi,978-9937-572-68-1,32,1057.85,Avinash Prakashan
2023-02-17,Chhito Khushi,978-9937-146-99-6,49,995.96,Katha Ghar
2023-03-09,Shishir,978-9937-408-24-2,96,1058.77,Nirmal Publication
2021-09-20,Circuit Analysis and Design,978-9937-735-88-4,79,1129.27,Ekta Books
2022-05-13,Man Ko Ramailo,978-9937-453-19-8,97,1411.2,Siddhartha Books
2022-12-29,Chhalphal Yatra Ramailo,978-9937-376-59-4,49,240.4,Mandala Book Point
2019-09-06,Chalti Jatra,978-9937-170-33-4,66,717.61,Srijana Prakashan
2022-11-24,Waves and Optics,978-9937-838-92-2,83,290.72,Bookhill
2019-05-11,Sathi Ko Jatra,978-9937-628-21-9,38,1277.36,Educational Publishing House
2023-04-14,Pagal Basti,978-9937-321-55-4,63,453.03,Shrestha Books
2023-04-09,Jatra Ko Samaya,978-9937-756-25-7,80,645.06,Himal Books
2024-04-28,Khusi Ko Ramailo Ghar,978-9937-279-81-7,67,277.78,Om Publications
2024-08-03,Dharma Ra Ramailo,978-9937-986-59-4,63,246.07,Fine Print
2022-04-26,Policy Analysis and Advocacy,978-9937-679-32-0,59,720.24,Siddhartha Books
2021-11-24,Chal Pani,978-9937-504-62-9,44,873.59,Adroit Publishers
2023-03-06,Philosophy of Nursing,978-9937-877-94-7,67,881.49,Srijana Prakashan
2019-10-31,Microprocessor Design: Theory and Applications,978-9937-516-38-6,91,849.36,Sajjan Publications
2023-07-06,Khushi Ko Jeevan,978-9937-879-72-9,31,758.07,Nepalaya
2021-06-18,Natural Disasters in Nepal,978-9937-261-33-8,57,573.41,Ekta Books
2022-08-28,Wildlife Conservation,978-9937-222-41-1,99,706.84,Bookhill
2019-09-03,Raag,978-9937-674-99-3,94,376.95,Gyan Books
2020-06-15,Shiksha Ra Khusi Ko Katha,978-9937-369-94-7,52,1149.86,Srijana Prakashan
2021-06-22,Introduction to Drama and Theatre,978-9937-115-32-7,81,169.02,Nepalaya
2019-12-21,Sankalpa,978-9937-570-57-1,19,1167.39,Ekta Books
2024-02-09,Chhito Kahani Ramailo,978-9937-465-67-1,42,1192.07,Bhimsen Publications
2020-08-22,Maitri,978-9937-987-76-3,39,332.55,Gyan Books
2021-05-01,Cognitive Psychology,978-9937-948-97-6,48,1447.37,Mitra and Brothers
2023-11-16,Architecture in Nepal,978-9937-390-25-0,66,785.03,Samyukta Prakashan
2023-02-10,Sathi,978-9937-174-82-2,40,1467.32,Shrestha Books
2021-04-27,Introduction to Environmental Studies,978-9937-160-46-7,50,1204.2,Sajjan Publications
2024-05-20,Nepal Yatra,978-9937-112-78-2,67,1433.48,Mitra and Brothers
2019-01-01,Food Security and Nutrition,978-9937-638-72-4,93,633.04,Fine Print
2020-01-31,Yatra Ko Rukh,978-9937-222-92-7,13,1438.2,Mandala Book Point
